State,Votes.x,Winning.Party.x,Population.x,BIO.x,COW.x,GEO.x,HYC.x,NG-.x,NUC.x,OOG.x,PC-.x,PEL.x,TSN.x,WND.x,total.x,BIO.y,COW.y,GEO.y,HYC.y,NG-.y,NUC.y,OOG.y,PC-.y,PEL.y,TSN.y,WND.y,total.y,BIO.c,COW.c,GEO.c,HYC.c,NG-.c,NUC.c,OOG.c,PC-.c,TSN.c,WND.c,total.c
Nevada,6,Democrats,1998257,26,2167,3848,1767,28839,0,1,0,11,2918,344,39910,26,2657,3111,2264,29000,0,6,0,16,1844,310,39218,0,-490,737,-497,-161,0,-5,0,1074,34,692
New Hampshire,4,Democrats,1235786,1675,422,0,1121,4739,10761,0,0,30,54,447,19219,1624,937,0,1270,6052,9484,0,0,176,24,423,19814,51,-515,0,-149,-1313,1277,0,0,30,24,-595
New Jersey,14,Democrats,8414350,967,1315,0,0,43643,29885,222,74,92,2746,22,78874,946,1759,0,10,36974,33262,221,71,304,2062,22,75327,21,-444,0,-10,6669,-3377,1,3,684,0,3547
New Mexico,5,Democrats,1819046,18,18365,16,146,9997,0,0,0,50,976,3614,33132,20,20440,10,99,9365,0,0,0,63,757,2090,32781,-2,-2075,6,47,632,0,0,0,219,1524,351
New York,29,Democrats,18976457,2290,1770,0,26604,56798,41571,0,0,654,1067,3946,134046,2241,2380,0,26015,56923,44603,0,0,1892,689,3977,136828,49,-610,0,589,-125,-3032,0,0,378,-31,-2782
North Carolina,15,Republicans,8049313,2423,37539,0,4529,39386,42786,0,0,284,4016,6,130685,2589,39922,0,4742,36545,42097,0,0,435,1460,0,127355,-166,-2383,0,-213,2841,689,0,0,2556,6,3330
North Dakota,3,Republicans,642200,11,26589,0,1912,872,0,46,0,30,0,8080,37510,4,27734,0,2094,711,0,39,0,26,0,6506,37088,7,-1145,0,-182,161,0,7,0,0,1574,422
Ohio,18,Republicans,11353140,764,68944,0,517,28866,16817,902,969,215,193,1255,119227,799,71710,0,457,28034,17377,945,1097,220,151,1203,121773,-35,-2766,0,60,832,-560,-43,-128,42,52,-2546
Oklahoma,7,Republicans,3450654,313,19164,0,2382,36381,0,0,0,18,11,19913,78164,336,24867,0,2664,34286,0,0,0,11,5,14031,76189,-23,-5703,0,-282,2095,0,0,0,6,5882,1975
Oregon,7,Democrats,3421399,992,1898,197,33700,15353,0,0,0,5,183,7163,59486,1116,2377,179,31254,16237,0,0,0,6,116,6632,57911,-124,-479,18,2446,-884,0,0,0,67,531,1575
Pennsylvania,20,Republicans,12281054,2382,54453,0,2376,67866,82924,498,189,267,383,3472,214543,2404,64637,0,2604,59455,80517,420,158,571,325,3353,213873,-22,-10184,0,-228,8411,2407,78,31,58,119,670
Rhode Island,4,Democrats,1048319,205,0,0,0,6296,0,0,0,32,41,33,6575,211,0,0,3,6586,0,0,0,114,28,10,6838,-6,0,0,-3,-290,0,0,0,13,23,-263
South Carolina,9,Republicans,4012012,2372,21006,0,2399,16173,55826,0,0,117,35,0,97811,2289,22631,0,2564,16549,53156,0,0,193,11,0,97200,83,-1625,0,-165,-376,2670,0,0,24,0,611
South Dakota,3,Republicans,754844,0,2083,0,4134,997,0,0,0,4,2,3145,10361,0,1495,0,4850,773,0,0,0,17,1,2498,9617,0,588,0,-716,224,0,0,0,1,647,744
Tennessee,11,Republicans,5689283,1001,31168,0,7418,11296,29578,15,0,121,151,38,80665,1004,30586,0,9581,9324,24960,12,0,135,136,46,75649,-3,582,0,-2163,1972,4618,3,0,15,-8,5016
Texas,38,Republicans,20851820,1735,121231,0,1103,227554,42079,2625,120,81,1108,57551,455106,1440,121554,0,956,237731,39355,2579,134,108,624,44833,449206,295,-323,0,147,-10177,2724,46,-14,484,12718,5900
Utah,6,Republicans,2233169,84,25897,530,816,8548,0,0,0,31,1023,827,37725,85,31656,430,769,8218,0,8,0,20,99,626,41891,-1,-5759,100,47,330,0,-8,0,924,201,-4166
Vermont,3,Democrats,608827,473,0,0,1056,0,0,0,0,0,155,293,1977,465,0,0,1139,1,0,0,0,3,102,325,2032,8,0,0,-83,-1,0,0,0,53,-32,-55
Virginia,13,Democrats,7078515,4124,16551,0,1526,40656,29732,0,0,537,65,0,92654,4144,17231,0,1158,33284,28060,0,0,1108,30,0,83907,-20,-680,0,368,7372,1672,0,0,35,0,8747
Washington,12,Democrats,5894121,2017,4602,0,76843,11172,9626,402,0,20,89,8042,112793,1991,5052,0,73405,13046,8161,395,0,22,56,7075,109181,26,-450,0,3438,-1874,1465,7,0,33,967,3612
West Virginia,5,Republicans,1808344,5,71412,0,1410,1227,0,25,0,123,6,1432,75517,5,68056,0,1385,1304,0,29,0,140,4,1376,72159,0,3356,0,25,-77,0,-4,0,2,56,3358
Wisconsin,10,Republicans,5363675,1422,33370,0,2405,15720,10151,0,120,26,38,1521,64747,1571,37181,0,2341,13399,10008,0,181,27,29,1589,66299,-149,-3811,0,64,2321,143,0,-61,9,-68,-1552
Wyoming,3,Republicans,493782,0,39770,0,998,758,0,358,0,45,3,4363,46250,0,43091,0,868,722,0,405,0,45,3,3757,48846,0,-3321,0,130,36,0,-47,0,0,606,-2596
